Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
324,Zach Collins,27,CHI,PF,27,8,19.9,3.3,6.0,.540,0.6,2.2,.288,2.6,3.9,.683,.592,1.3,1.4,.872,2.3,4.4,6.8,2.1,0.6,0.5,1.4,2.3,8.4,,colliza01
325,Chuma Okeke,26,2TM,PF,8,3,21.8,2.4,4.4,.543,1.3,2.9,.435,1.1,1.5,.750,.686,0.3,0.4,.667,2.5,2.9,5.4,1.6,0.6,0.4,0.4,0.6,6.3,,okekech01
325,Chuma Okeke,26,PHI,PF,7,3,24.4,2.6,4.7,.545,1.4,3.1,.455,1.1,1.6,.727,.697,0.3,0.4,.667,2.9,3.3,6.1,1.9,0.7,0.4,0.4,0.7,6.9,,okekech01
325,Chuma Okeke,26,CLE,PF,1,0,3.0,1.0,2.0,.500,0.0,1.0,.000,1.0,1.0,1.000,.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,okekech01
326,Marcus Bagley,23,PHI,SF,9,3,23.3,2.6,6.7,.383,0.6,3.2,.172,2.0,3.4,.581,.425,0.7,0.9,.750,2.1,4.0,6.1,1.0,0.6,1.2,0.6,1.4,6.3,,baglema02
327,Kris Dunn,30,LAC,PG,73,57,23.9,2.6,5.9,.434,1.0,3.0,.326,1.6,2.9,.547,.517,0.2,0.3,.682,0.7,2.7,3.4,2.8,1.7,0.4,1.0,2.6,6.3,,dunnkr01
328,Jeremiah Robinson-Earl,24,NOP,PF,65,8,18.6,2.4,5.1,.465,0.8,2.4,.350,1.5,2.7,.569,.548,0.7,0.8,.849,1.6,3.0,4.6,1.3,0.6,0.1,0.8,1.2,6.3,,robinje02
329,Bones Hyland,24,2TM,PG,24,0,10.0,2.0,4.9,.398,1.3,3.4,.390,0.6,1.5,.417,.534,1.0,1.1,.885,0.2,0.8,1.0,1.3,0.8,0.2,1.0,1.2,6.2,,hylanbo01
329,Bones Hyland,24,LAC,PG,20,0,11.1,2.3,5.8,.391,1.6,4.0,.388,0.7,1.8,.400,.526,1.2,1.3,.885,0.3,1.0,1.2,1.4,0.9,0.2,1.2,1.3,7.2,,hylanbo01
329,Bones Hyland,24,MIN,PG,4,0,4.3,0.5,0.8,.667,0.3,0.5,.500,0.3,0.3,1.000,.833,0.0,0.0,,0.0,0.3,0.3,1.0,0.0,0.0,0.3,0.8,1.3,,hylanbo01
330,Sandro Mamukelashvili,25,SAS,PF,60,0,11.0,2.3,4.6,.495,1.0,2.7,.377,1.3,1.9,.658,.604,0.7,1.0,.741,1.0,2.0,3.1,0.7,0.4,0.3,0.4,1.0,6.2,,mamuksa01
331,Ryan Rollins,22,MIL,PG,56,19,14.6,2.4,4.8,.487,0.9,2.1,.408,1.5,2.7,.550,.577,0.6,0.8,.800,0.4,1.6,1.9,1.9,0.8,0.3,0.9,1.6,6.2,,rolliry01
332,Dru Smith,27,MIA,SG,14,1,19.1,2.2,4.4,.508,1.1,2.1,.533,1.1,2.2,.484,.639,0.6,0.9,.750,0.9,1.7,2.6,1.6,1.5,0.4,1.2,2.1,6.2,,smithdr01
333,Kenrich Williams,30,OKC,PF,68,6,16.1,2.4,4.9,.485,1.0,2.4,.402,1.4,2.5,.564,.583,0.4,0.5,.771,0.9,2.4,3.4,1.4,0.6,0.1,0.5,1.6,6.2,,willike04
334,Mouhamed Gueye,22,ATL,PF,32,27,16.4,2.2,5.3,.420,0.6,2.5,.250,1.6,2.8,.573,.479,1.0,1.3,.762,1.3,2.9,4.2,0.8,0.9,1.0,0.5,1.7,6.1,,gueyemo02
335,Jonathan Mogbo,23,TOR,PF,62,17,20.2,2.5,5.5,.444,0.3,1.0,.262,2.2,4.5,.487,.469,1.0,1.3,.738,1.7,3.1,4.8,2.2,0.8,0.5,1.1,2.1,6.1,,mogbojo01
336,Isaac Okoro,24,CLE,SG,55,22,19.1,2.3,4.9,.464,1.0,2.7,.371,1.2,2.1,.586,.569,0.6,0.8,.717,0.9,1.5,2.4,1.2,0.6,0.3,0.4,1.9,6.1,,okorois01
337,Jarace Walker,21,IND,PF,74,4,15.6,2.2,4.7,.476,1.0,2.4,.411,1.2,2.3,.545,.582,0.6,0.9,.667,0.3,2.6,3.0,1.4,0.7,0.3,1.1,1.5,6.1,,walkeja02
338,Luke Kornet,29,BOS,C,72,15,18.5,2.5,3.8,.672,0.0,0.0,.000,2.5,3.7,.677,.672,0.9,1.3,.695,2.6,2.7,5.3,1.6,0.5,0.9,0.4,1.6,6.0,,kornelu01
339,Jaylen Sims,26,CHO,SG,5,0,18.2,1.6,3.8,.421,0.8,2.0,.400,0.8,1.8,.444,.526,2.0,2.4,.833,0.4,0.6,1.0,2.0,0.4,0.2,1.4,1.4,6.0,,simsja01
340,Isaiah Stewart,23,DET,C,72,4,19.9,2.4,4.4,.559,0.2,0.7,.321,2.2,3.6,.607,.586,0.9,1.2,.759,1.8,3.7,5.5,1.7,0.4,1.4,0.9,2.5,6.0,,stewais01
341,Jaylin Williams,22,OKC,PF,46,8,17.0,2.1,4.8,.441,1.3,3.3,.399,0.8,1.5,.537,.580,0.5,0.7,.767,1.0,4.6,5.7,2.6,0.5,0.6,0.8,1.7,6.0,,willija07
342,James Wiseman,23,IND,C,1,0,5.0,2.0,4.0,.500,0.0,1.0,.000,2.0,3.0,.667,.500,2.0,2.0,1.000,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,,wisemja01
343,Isaiah Wong,24,CHO,SG,20,0,13.3,2.1,5.3,.390,0.7,1.7,.394,1.4,3.6,.389,.452,1.3,1.7,.735,0.7,0.9,1.6,1.4,0.6,0.0,0.9,1.1,6.0,,wongis01
344,Cole Swider,25,2TM,SF,10,0,16.9,2.2,6.3,.349,1.5,4.7,.319,0.7,1.6,.438,.468,0.0,0.1,.000,0.5,2.2,2.7,0.3,0.4,0.2,0.4,1.2,5.9,,swideco01
344,Cole Swider,25,DET,SF,2,0,6.5,0.0,2.5,.000,0.0,2.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.5,0.0,,swideco01
344,Cole Swider,25,TOR,SF,8,0,19.5,2.8,7.3,.379,1.9,5.3,.357,0.9,2.0,.438,.509,0.0,0.1,.000,0.6,2.5,3.1,0.3,0.5,0.3,0.5,1.4,7.4,,swideco01
345,Kyle Anderson,31,2TM,PF,60,4,16.2,2.3,4.9,.473,0.4,1.2,.357,1.9,3.8,.509,.515,0.8,1.1,.730,0.9,2.5,3.3,2.4,0.7,0.5,0.6,1.3,5.9,,anderky01
345,Kyle Anderson,31,GSW,PF,36,3,15.0,2.1,4.7,.450,0.5,1.4,.365,1.6,3.3,.487,.506,0.5,0.8,.667,0.8,2.3,3.1,2.3,0.7,0.6,0.6,1.1,5.3,,anderky01
345,Kyle Anderson,31,MIA,SF,24,1,18.0,2.7,5.3,.504,0.3,0.8,.333,2.4,4.5,.532,.528,1.2,1.5,.778,1.0,2.7,3.8,2.5,0.6,0.4,0.7,1.7,6.8,,anderky01
346,Tidjane Salaün,19,CHO,PF,59,9,20.5,1.9,5.7,.338,1.0,3.4,.288,0.9,2.3,.412,.424,1.1,1.6,.707,1.2,3.5,4.7,1.2,0.5,0.2,0.9,1.4,5.9,,salauti01
347,Moses Brown,25,2TM,C,13,2,9.2,2.6,3.8,.694,0.0,0.0,,2.6,3.8,.694,.694,0.6,0.8,.727,0.9,2.5,3.4,0.2,0.5,0.3,0.8,1.3,5.8,,brownmo01
