Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
263,Hedo Türkoğlu,2005,2013,8,497,16233,2510,5812,794,2095,1402,1741,370,2221,1927,425,137,1097,1377,7216,.432,.379,.805,32.7,14.5,4.5,3.9,0.9,0.3,turkohe01
264,Jeff Turner,1990,1996,7,411,8162,1137,2431,73,207,325,426,408,1484,453,132,62,467,1190,2672,.468,.353,.763,19.9,6.5,3.6,1.1,0.3,0.2,turneje01
265,Beno Udrih,2013,2013,1,27,738,97,238,21,53,60,70,17,63,164,25,1,55,51,275,.408,.396,.857,27.3,10.2,2.3,6.1,0.9,0.0,udrihbe01
266,David Vaughn,1996,1997,2,68,564,58,152,0,1,29,48,68,175,15,14,30,47,111,145,.382,.000,.604,8.3,2.1,2.6,0.2,0.2,0.4,vaughda02
267,Jacque Vaughn,2003,2003,1,80,1686,184,411,8,34,97,125,26,118,232,64,2,97,169,473,.448,.235,.776,21.1,5.9,1.5,2.9,0.8,0.0,vaughja01
268,Rashad Vaughn,2018,2018,1,5,35,2,6,1,2,0,0,1,4,0,1,0,2,2,5,.333,.500,,7.0,1.0,0.8,0.0,0.2,0.0,vaughra01
269,Sam Vincent,1990,1992,3,151,3517,560,1266,5,46,397,464,73,402,699,130,29,295,237,1522,.442,.109,.856,23.3,10.1,2.7,4.6,0.9,0.2,vincesa01
270,Nikola Vučević,2013,2021,9,591,18791,4490,9003,390,1105,1053,1389,1598,6381,1668,537,550,1080,1475,10423,.499,.353,.758,31.8,17.6,10.8,2.8,0.9,0.9,vucevni01
271,Von Wafer,2012,2012,1,33,469,71,157,14,39,38,54,6,45,29,10,3,35,26,194,.452,.359,.704,14.2,5.9,1.4,0.9,0.3,0.1,wafervo01
272,Franz Wagner,2022,2025,4,291,9398,2063,4350,424,1317,1002,1171,282,1408,1067,296,100,561,662,5552,.474,.322,.856,32.3,19.1,4.8,3.7,1.0,0.3,wagnefr01
273,Moritz Wagner,2021,2025,5,241,4334,905,1686,198,597,531,658,279,1040,321,124,68,283,510,2539,.537,.332,.807,18.0,10.5,4.3,1.3,0.5,0.3,wagnemo01
274,Ben Wallace,2000,2000,1,81,1959,168,334,0,0,54,114,211,665,67,72,130,67,162,390,.503,,.474,24.2,4.8,8.2,0.8,0.9,1.6,wallabe01
275,C.J. Watson,2016,2017,2,95,1668,143,385,46,153,91,105,26,155,202,62,7,72,133,423,.371,.301,.867,17.6,4.5,1.6,2.1,0.7,0.1,watsocj01
276,Spud Webb,1998,1998,1,4,34,5,12,0,1,2,2,2,3,5,1,0,7,6,12,.417,.000,1.000,8.5,3.0,0.8,1.3,0.3,0.0,webbsp01
277,Chris Whitney,2003,2003,1,22,290,30,88,7,36,11,12,2,21,21,12,1,16,15,78,.341,.194,.917,13.2,3.5,1.0,1.0,0.5,0.0,whitnch01
278,C.J. Wilcox,2017,2017,1,22,108,8,31,3,15,2,2,4,12,12,2,1,6,8,21,.258,.200,1.000,4.9,1.0,0.5,0.5,0.1,0.0,wilcocj01
279,Morlon Wiley,1990,1992,3,83,1078,146,344,23,62,48,68,19,76,200,73,3,105,115,363,.424,.371,.706,13.0,4.4,0.9,2.4,0.9,0.0,wileymo01
280,Dominique Wilkins,1999,1999,1,27,252,50,132,5,19,29,42,30,71,16,4,1,23,19,134,.379,.263,.690,9.3,5.0,2.6,0.6,0.1,0.0,wilkido01
281,Gerald Wilkins,1997,1999,3,155,3482,464,1202,95,312,207,290,75,264,252,88,18,205,225,1230,.386,.304,.714,22.5,7.9,1.7,1.6,0.6,0.1,wilkige01
282,Jason Williams,2010,2011,2,98,1874,202,464,91,244,31,41,10,148,322,61,3,98,71,526,.435,.373,.756,19.1,5.4,1.5,3.3,0.6,0.0,willija02
283,Lorenzo Williams,1993,1994,2,6,29,1,8,0,1,0,0,4,6,2,3,4,0,5,2,.125,.000,,4.8,0.3,1.0,0.3,0.5,0.7,willilo01
284,Monty Williams,2000,2002,3,225,3996,623,1264,3,22,296,433,262,728,281,124,50,280,457,1545,.493,.136,.684,17.8,6.9,3.2,1.2,0.6,0.2,willimo01
285,Shammond Williams,2004,2004,1,37,525,59,151,25,74,40,45,9,43,64,23,1,26,40,183,.391,.338,.889,14.2,4.9,1.2,1.7,0.6,0.0,willish01
286,Joe Wolf,1996,1996,1,63,1047,135,262,0,6,21,29,49,185,63,13,5,40,161,291,.515,.000,.724,16.6,4.6,2.9,1.0,0.2,0.1,wolfjo01
287,Howard Wright,1991,1993,2,12,146,19,46,0,0,13,23,11,39,3,3,5,9,23,51,.413,,.565,12.2,4.3,3.3,0.3,0.3,0.4,wrighho02
288,Stephen Zimmerman,2017,2017,1,19,108,10,31,0,0,3,5,11,35,4,2,5,3,17,23,.323,,.600,5.7,1.2,1.8,0.2,0.1,0.3,zimmest01
