Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
110,Darrin Hancock,1995,1996,2,109,1262,180,335,2,6,63,112,54,151,77,47,9,86,142,425,.537,.333,.563,11.6,3.9,1.4,0.7,0.4,0.1,hancoda01
111,Tyler Hansbrough,2016,2016,1,44,343,32,71,2,3,38,65,40,89,8,12,7,12,55,104,.451,.667,.585,7.8,2.4,2.0,0.2,0.3,0.2,hansbty01
112,Montrezl Harrell,2022,2022,1,25,524,111,172,0,2,63,91,53,122,49,11,12,22,49,285,.645,.000,.692,21.0,11.4,4.9,2.0,0.4,0.5,harremo01
113,Othella Harrington,2007,2008,2,48,386,43,98,0,0,27,38,24,80,10,2,5,26,83,113,.439,,.711,8.0,2.4,1.7,0.2,0.0,0.1,harriot01
114,Aaron Harrison,2016,2017,2,26,110,5,23,3,12,6,14,4,18,5,6,0,4,12,19,.217,.250,.429,4.2,0.7,0.7,0.2,0.2,0.0,harriaa01
115,Jason Hart,2005,2005,1,74,1887,257,573,35,95,157,200,18,203,367,99,14,102,167,706,.449,.368,.785,25.5,9.5,2.7,5.0,1.3,0.2,hartja01
116,Kirk Haston,2002,2002,1,15,77,11,39,0,3,4,8,5,20,5,0,1,3,9,26,.282,.000,.500,5.1,1.7,1.3,0.3,0.0,0.1,hastoki01
117,Spencer Hawes,2016,2017,2,92,1661,228,524,54,157,84,99,83,390,171,35,53,98,172,594,.435,.344,.848,18.1,6.5,4.2,1.9,0.4,0.6,hawessp01
118,Hersey Hawkins,1994,2001,3,223,6060,841,1805,226,579,627,726,166,771,550,290,49,327,390,2535,.466,.390,.864,27.2,11.4,3.5,2.5,1.3,0.2,hawkihe01
119,Michael Hawkins,2000,2000,1,12,36,3,13,1,5,1,2,0,7,13,0,0,3,2,8,.231,.200,.500,3.0,0.7,0.6,1.1,0.0,0.0,hawkimi01
120,Gordon Hayward,2021,2024,4,168,5435,1009,2153,245,646,473,574,133,814,680,169,60,322,275,2736,.469,.379,.824,32.4,16.3,4.8,4.0,1.0,0.4,haywago01
121,Brendan Haywood,2013,2013,1,61,1162,93,216,0,1,30,66,125,290,29,16,49,50,125,216,.431,.000,.455,19.0,3.5,4.8,0.5,0.3,0.8,haywobr01
