Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
110,Bobby Jackson,2007,2008,2,102,2221,320,814,107,309,170,217,65,288,217,82,9,109,157,917,.393,.346,.783,21.8,9.0,2.8,2.1,0.8,0.1,jacksbo01
111,Frank Jackson,2019,2020,2,120,1966,328,778,100,313,110,148,47,217,130,42,6,97,169,866,.422,.319,.743,16.4,7.2,1.8,1.1,0.4,0.1,jacksfr01
112,Marc Jackson,2006,2007,2,83,1619,267,609,1,3,118,137,118,320,80,29,9,102,145,653,.438,.333,.861,19.5,7.9,3.9,1.0,0.3,0.1,jacksma02
113,Casey Jacobsen,2005,2005,1,44,1030,100,251,32,88,103,130,18,100,76,22,7,44,48,335,.398,.364,.792,23.4,7.6,2.3,1.7,0.5,0.2,jacobca01
114,Mike James,2008,2009,2,29,257,30,89,10,27,7,8,4,24,14,6,0,10,19,77,.337,.370,.875,8.9,2.7,0.8,0.5,0.2,0.0,jamesmi01
115,Mike James,2018,2018,1,4,18,2,9,0,1,0,0,1,1,6,1,0,1,3,4,.222,.000,,4.5,1.0,0.3,1.5,0.3,0.0,jamesmi02
116,Trey Jemison,2025,2025,1,16,166,15,32,0,0,8,21,22,44,10,7,6,10,27,38,.469,,.381,10.4,2.4,2.8,0.6,0.4,0.4,jemistr01
117,Alize Johnson,2022,2022,1,4,28,3,10,0,0,3,4,7,13,1,2,0,1,3,9,.300,,.750,7.0,2.3,3.3,0.3,0.5,0.0,johnsal02
118,Carldell Johnson,2012,2012,1,15,119,11,35,4,15,1,3,1,9,22,8,0,7,11,27,.314,.267,.333,7.9,1.8,0.6,1.5,0.5,0.0,johnsca01
119,Chris Johnson,2012,2012,1,7,82,9,18,0,0,5,7,7,22,1,5,1,8,13,23,.500,,.714,11.7,3.3,3.1,0.1,0.7,0.1,johnsch03
120,James Johnson,2021,2021,1,22,539,79,182,16,60,28,47,18,91,48,18,19,28,61,202,.434,.267,.596,24.5,9.2,4.1,2.2,0.8,0.9,johnsja01
121,Linton Johnson,2006,2007,2,81,1209,149,329,23,66,47,60,92,278,30,43,30,51,155,368,.453,.348,.783,14.9,4.5,3.4,0.4,0.5,0.4,johnsli01
122,Orlando Johnson,2016,2016,1,5,54,4,17,1,5,1,2,1,6,2,1,0,3,4,10,.235,.200,.500,10.8,2.0,1.2,0.4,0.2,0.0,johnsor01
123,Stanley Johnson,2019,2019,1,18,247,38,91,11,34,9,13,9,42,28,12,1,26,22,96,.418,.324,.692,13.7,5.3,2.3,1.6,0.7,0.1,johnsst04
124,Trey Johnson,2012,2012,1,11,61,8,14,0,0,5,5,3,12,4,1,0,5,10,21,.571,,1.000,5.5,1.9,1.1,0.4,0.1,0.0,johnstr01
125,Wesley Johnson,2019,2019,1,26,377,35,88,19,50,6,9,10,54,16,12,7,12,45,95,.398,.380,.667,14.5,3.7,2.1,0.6,0.5,0.3,johnswe01
126,Herbert Jones,2022,2025,4,240,7255,877,1837,249,681,430,522,291,915,593,375,173,316,736,2433,.477,.366,.824,30.2,10.1,3.8,2.5,1.6,0.7,joneshe01
127,Jalen Jones,2018,2018,1,4,19,1,4,1,1,2,2,0,3,0,0,0,0,2,5,.250,1.000,1.000,4.8,1.3,0.8,0.0,0.0,0.0,jonesja04
128,Solomon Jones,2012,2012,1,11,196,23,53,0,0,15,18,21,41,7,5,6,13,31,61,.434,,.833,17.8,5.5,3.7,0.6,0.5,0.5,jonesso01
129,Terrence Jones,2017,2017,1,51,1264,231,489,19,75,103,170,65,303,59,39,53,48,67,584,.472,.253,.606,24.8,11.5,5.9,1.2,0.8,1.0,joneste01
130,Chris Kaman,2012,2012,1,47,1372,266,597,0,0,84,107,89,364,101,25,77,129,106,616,.446,,.785,29.2,13.1,7.7,2.1,0.5,1.6,kamanch01
131,Kylor Kelley,2025,2025,1,3,59,4,9,0,0,2,4,4,18,3,1,1,3,7,10,.444,,.500,19.7,3.3,6.0,1.0,0.3,0.3,kelleky01
