Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
410,Chuck Williams,1972,1977,3,184,4420,637,1336,0,8,423,545,111,401,579,123,7,278,385,1697,.477,,.776,24.0,9.2,2.2,3.1,1.2,0.1,willich02
411,Eric Williams,1998,1999,2,42,925,104,280,6,26,142,184,44,102,49,31,8,58,85,356,.371,.231,.772,22.0,8.5,2.4,1.2,0.7,0.2,willier01
412,Monty Williams,1999,1999,1,1,6,0,2,0,0,1,2,0,0,0,0,0,0,0,1,.000,,.500,6.0,1.0,0.0,0.0,0.0,0.0,willimo01
413,Pete Williams,1986,1987,2,58,583,68,113,0,0,17,40,47,147,15,19,23,20,69,153,.602,,.425,10.1,2.6,2.5,0.3,0.3,0.4,willipe01
414,Reggie Williams,1991,1996,6,419,12556,2359,5286,301,994,915,1159,610,1923,1222,632,328,781,1432,5934,.446,.303,.789,30.0,14.2,4.6,2.9,1.5,0.8,willire01
415,Rob Williams,1983,1984,2,153,3367,500,1139,17,62,302,383,91,330,825,173,17,354,489,1319,.439,.274,.789,22.0,8.6,2.2,5.4,1.1,0.1,williro02
416,Scott Williams,2002,2002,1,41,737,86,217,0,2,30,41,82,209,13,17,33,35,98,202,.396,.000,.732,18.0,4.9,5.1,0.3,0.4,0.8,willisc01
417,Shammond Williams,2003,2003,1,27,712,94,241,37,102,30,45,12,61,138,16,3,53,56,255,.390,.363,.667,26.4,9.4,2.3,5.1,0.6,0.1,willish01
418,Shelden Williams,2011,2011,1,42,713,82,181,0,0,34,46,74,223,19,18,22,37,92,198,.453,,.739,17.0,4.7,5.3,0.5,0.4,0.5,willish02
419,Kevin Willis,2001,2001,1,43,1059,180,421,1,4,52,66,109,309,29,38,31,47,138,413,.428,.250,.788,24.6,9.6,7.2,0.7,0.9,0.7,willike02
420,Steve Wilson,1971,1972,2,48,297,57,155,8,35,26,48,25,52,35,,,33,52,148,.368,.229,.542,6.2,3.1,1.1,0.7,,,wilsost01
421,Willie Wise,1977,1977,1,75,1403,237,513,,,142,218,76,253,142,60,18,,180,616,.462,,.651,18.7,8.2,3.4,1.9,0.8,0.2,wisewi01
422,Greg Wittman,1970,1970,1,50,453,80,204,4,17,32,59,30,98,15,,,36,87,196,.392,.235,.542,9.1,3.9,2.0,0.3,,,wittmgr01
423,Joe Wolf,1991,1998,3,198,3374,374,917,5,36,127,159,269,766,198,112,52,177,460,880,.408,.139,.799,17.0,4.4,3.9,1.0,0.6,0.3,wolfjo01
424,Randy Woods,1996,1996,1,8,72,6,22,5,21,2,2,3,6,12,6,1,5,13,19,.273,.238,1.000,9.0,2.4,0.8,1.5,0.8,0.1,woodsra01
425,Orlando Woolridge,1991,1991,1,53,1823,490,983,0,4,350,439,141,361,119,69,23,152,145,1330,.498,.000,.797,34.4,25.1,6.8,2.2,1.3,0.4,woolror01
426,Tom Workman,1971,1971,1,39,489,89,199,1,11,57,68,39,133,37,,,52,81,236,.447,.091,.838,12.5,6.1,3.4,0.9,,,workmto01
427,Brad Wright,1988,1988,1,2,7,1,5,0,0,0,0,0,1,0,0,0,2,3,2,.200,,,3.5,1.0,0.5,0.0,0.0,0.0,wrighbr01
428,Lonnie Wright,1968,1971,4,227,6440,1090,2715,90,344,458,649,135,691,453,,,343,710,2728,.401,.262,.706,28.4,12.0,3.0,2.0,,,wrighlo01
429,Vincent Yarbrough,2003,2003,1,59,1381,168,428,21,78,49,62,36,162,130,57,33,81,145,406,.393,.269,.790,23.4,6.9,2.7,2.2,1.0,0.6,yarbrvi01
430,Nick Young,2019,2019,1,4,37,3,9,3,8,0,0,0,1,2,0,1,2,4,9,.333,.375,,9.3,2.3,0.3,0.5,0.0,0.3,youngni01
431,George Zídek,1997,1998,2,22,130,20,48,0,0,30,37,14,36,6,1,2,7,22,70,.417,,.811,5.9,3.2,1.6,0.3,0.0,0.1,zidekge01
